id;summary;completed_at;goal_id;created_by;last_modified_by
1;withdrawal Moldovan Leu Intelligent;2019-03-03T11:49:34;1;system;system
2;Walk payment Gloves;2019-03-03T05:53:35;2;system;system
3;payment Chair methodologies;2019-03-03T19:28:05;3;system;system
4;Baby morph;2019-03-03T16:30:39;4;system;system
5;virtual back-end;2019-03-02T20:04:05;5;system;system
6;Central calculating;2019-03-02T22:28:58;6;system;system
7;transmit Usability Wisconsin;2019-03-03T03:15:17;7;system;system
8;proactive reboot;2019-03-03T19:33:14;8;system;system
9;Officer;2019-03-02T23:44:21;9;system;system
10;synthesizing;2019-03-03T19:15:58;10;system;system
